time,open,high,low,close,tick_volume,spread,real_volume
2024-09-24 09:00:00,132590.0,132735.0,132500.0,132660.0,29405,1,87257
2024-09-24 09:01:00,132670.0,132890.0,132665.0,132855.0,36448,1,111936
2024-09-24 09:02:00,132855.0,133055.0,132845.0,132990.0,36866,1,113092
2024-09-24 09:03:00,132985.0,133000.0,132845.0,132875.0,26048,1,74550
2024-09-24 09:04:00,132875.0,132955.0,132825.0,132865.0,19457,1,58282
2024-09-24 09:05:00,132870.0,132940.0,132810.0,132860.0,15722,1,47957
2024-09-24 09:06:00,132860.0,132890.0,132770.0,132805.0,15971,1,52889
2024-09-24 09:07:00,132800.0,132810.0,132735.0,132765.0,12947,1,40236
2024-09-24 09:08:00,132760.0,132835.0,132730.0,132755.0,14178,1,43618
2024-09-24 09:09:00,132755.0,132760.0,132635.0,132640.0,16037,1,49410
2024-09-24 09:10:00,132645.0,132695.0,132610.0,132625.0,15460,1,50137
2024-09-24 09:11:00,132625.0,132660.0,132605.0,132610.0,7544,1,24361
2024-09-24 09:12:00,132610.0,132630.0,132560.0,132560.0,13863,1,41812
2024-09-24 09:13:00,132565.0,132620.0,132545.0,132570.0,10178,1,32087
2024-09-24 09:14:00,132570.0,132595.0,132540.0,132580.0,7527,1,26807
2024-09-24 09:15:00,132580.0,132590.0,132430.0,132455.0,23229,1,69307
2024-09-24 09:16:00,132455.0,132565.0,132450.0,132555.0,15810,1,48034
2024-09-24 09:17:00,132555.0,132640.0,132520.0,132615.0,15783,1,47802
2024-09-24 09:18:00,132610.0,132660.0,132580.0,132625.0,11749,1,39841
2024-09-24 09:19:00,132625.0,132665.0,132585.0,132615.0,9360,1,30132
2024-09-24 09:20:00,132615.0,132675.0,132585.0,132665.0,9313,1,31373
2024-09-24 09:21:00,132665.0,132690.0,132625.0,132665.0,8360,1,27246
2024-09-24 09:22:00,132670.0,132740.0,132645.0,132730.0,12787,1,37727
2024-09-24 09:23:00,132730.0,132750.0,132705.0,132715.0,7225,1,22760
2024-09-24 09:24:00,132715.0,132720.0,132630.0,132650.0,12668,1,40719
2024-09-24 09:25:00,132650.0,132820.0,132635.0,132795.0,20310,1,69460
2024-09-24 09:26:00,132790.0,132800.0,132755.0,132785.0,9246,1,32270
2024-09-24 09:27:00,132790.0,132865.0,132770.0,132840.0,16696,1,54788
2024-09-24 09:28:00,132840.0,132895.0,132815.0,132875.0,10384,1,34964
2024-09-24 09:29:00,132875.0,132900.0,132835.0,132900.0,7884,1,26266
2024-09-24 09:30:00,132900.0,132910.0,132805.0,132805.0,13208,1,43381
2024-09-24 09:31:00,132805.0,132815.0,132750.0,132810.0,13883,1,43450
2024-09-24 09:32:00,132810.0,132850.0,132785.0,132820.0,9227,1,29502
2024-09-24 09:33:00,132820.0,132865.0,132800.0,132865.0,4878,1,13890
2024-09-24 09:34:00,132865.0,132940.0,132835.0,132940.0,18389,1,56783
2024-09-24 09:35:00,132940.0,132960.0,132900.0,132925.0,12257,1,39939
2024-09-24 09:36:00,132930.0,132985.0,132910.0,132950.0,11831,1,36534
2024-09-24 09:37:00,132945.0,132990.0,132915.0,132975.0,7610,1,25010
2024-09-24 09:38:00,132975.0,132980.0,132950.0,132950.0,4596,1,14252
2024-09-24 09:39:00,132950.0,133025.0,132930.0,132970.0,14406,1,45239
2024-09-24 09:40:00,132965.0,132990.0,132880.0,132890.0,17611,1,56845
2024-09-24 09:41:00,132890.0,132970.0,132875.0,132960.0,8795,1,27656
2024-09-24 09:42:00,132960.0,132975.0,132930.0,132940.0,5099,1,15599
2024-09-24 09:43:00,132935.0,132955.0,132930.0,132935.0,2281,1,7073
2024-09-24 09:44:00,132935.0,132980.0,132930.0,132975.0,4544,1,13887
2024-09-24 09:45:00,132975.0,133015.0,132965.0,133000.0,9560,1,32572
2024-09-24 09:46:00,133000.0,133020.0,132940.0,132965.0,8572,1,27576
2024-09-24 09:47:00,132970.0,133110.0,132950.0,133080.0,28423,1,90994
2024-09-24 09:48:00,133075.0,133100.0,133060.0,133065.0,6937,1,20617
2024-09-24 09:49:00,133070.0,133090.0,133030.0,133070.0,9596,1,31767
2024-09-24 09:50:00,133065.0,133140.0,133055.0,133135.0,18489,1,64479
2024-09-24 09:51:00,133135.0,133180.0,133075.0,133150.0,17440,1,55897
2024-09-24 09:52:00,133150.0,133230.0,133145.0,133195.0,15724,1,52139
2024-09-24 09:53:00,133195.0,133200.0,133140.0,133185.0,10115,1,32472
2024-09-24 09:54:00,133185.0,133190.0,133155.0,133175.0,4723,1,13631
2024-09-24 09:55:00,133180.0,133210.0,133150.0,133190.0,6802,1,21564
2024-09-24 09:56:00,133185.0,133190.0,133115.0,133165.0,9841,1,29543
2024-09-24 09:57:00,133170.0,133195.0,133140.0,133180.0,4602,1,14832
2024-09-24 09:58:00,133180.0,133185.0,133145.0,133155.0,2977,1,9690
2024-09-24 09:59:00,133155.0,133170.0,133080.0,133095.0,12032,1,37902
2024-09-24 10:00:00,133095.0,133210.0,133090.0,133130.0,21441,1,71493
2024-09-24 10:01:00,133125.0,133135.0,132995.0,133045.0,32883,1,111426
2024-09-24 10:02:00,133050.0,133050.0,132985.0,133005.0,10762,1,35085
2024-09-24 10:03:00,133010.0,133040.0,132920.0,133035.0,22105,1,72537
2024-09-24 10:04:00,133040.0,133170.0,132990.0,133155.0,33676,1,113282
2024-09-24 10:05:00,133155.0,133180.0,133065.0,133140.0,22140,1,75247
2024-09-24 10:06:00,133145.0,133155.0,132990.0,133045.0,22830,1,75851
2024-09-24 10:07:00,133045.0,133090.0,132990.0,133010.0,14351,1,43098
2024-09-24 10:08:00,133005.0,133265.0,133000.0,133225.0,41212,1,136185
2024-09-24 10:09:00,133225.0,133230.0,133135.0,133160.0,17341,1,55547
2024-09-24 10:10:00,133165.0,133185.0,133110.0,133125.0,12410,1,40610
2024-09-24 10:11:00,133130.0,133155.0,133040.0,133045.0,15596,1,47323
2024-09-24 10:12:00,133050.0,133170.0,133020.0,133135.0,21902,1,71788
2024-09-24 10:13:00,133135.0,133175.0,133045.0,133065.0,16679,1,53959
2024-09-24 10:14:00,133065.0,133070.0,133005.0,133010.0,11901,1,38149
2024-09-24 10:15:00,133005.0,133020.0,132880.0,132920.0,33849,1,104153
2024-09-24 10:16:00,132920.0,132965.0,132885.0,132895.0,15002,1,49002
2024-09-24 10:17:00,132890.0,132930.0,132805.0,132910.0,29802,1,87575
2024-09-24 10:18:00,132910.0,133030.0,132905.0,132955.0,27579,1,89527
2024-09-24 10:19:00,132960.0,132995.0,132920.0,132965.0,10369,1,32837
2024-09-24 10:20:00,132960.0,133045.0,132935.0,132950.0,20564,1,69594
2024-09-24 10:21:00,132950.0,133080.0,132935.0,133050.0,18798,1,63155
2024-09-24 10:22:00,133050.0,133120.0,132970.0,133010.0,21008,1,67116
2024-09-24 10:23:00,133010.0,133030.0,132905.0,132970.0,21229,1,69398
2024-09-24 10:24:00,132970.0,133045.0,132950.0,133030.0,10180,1,32426
2024-09-24 10:25:00,133025.0,133140.0,133020.0,133120.0,18718,1,63015
2024-09-24 10:26:00,133115.0,133210.0,133085.0,133175.0,19158,1,65231
2024-09-24 10:27:00,133175.0,133220.0,133140.0,133195.0,13787,1,47974
2024-09-24 10:28:00,133190.0,133230.0,133115.0,133145.0,14771,1,48517
2024-09-24 10:29:00,133150.0,133170.0,133115.0,133160.0,6950,1,22129
2024-09-24 10:30:00,133165.0,133230.0,133040.0,133085.0,30616,1,108307
2024-09-24 10:31:00,133080.0,133320.0,133040.0,133265.0,40404,1,143310
2024-09-24 10:32:00,133265.0,133315.0,133200.0,133285.0,25838,1,89101
2024-09-24 10:33:00,133285.0,133375.0,133265.0,133310.0,23674,1,81591
2024-09-24 10:34:00,133310.0,133395.0,133305.0,133390.0,12556,1,44440
2024-09-24 10:35:00,133390.0,133445.0,133325.0,133425.0,23198,1,81147
2024-09-24 10:36:00,133425.0,133560.0,133400.0,133530.0,27935,1,102528
2024-09-24 10:37:00,133535.0,133655.0,133520.0,133620.0,21860,1,81559
2024-09-24 10:38:00,133620.0,133705.0,133570.0,133585.0,25914,1,94958
2024-09-24 10:39:00,133585.0,133615.0,133525.0,133530.0,16065,1,57601
2024-09-24 10:40:00,133530.0,133620.0,133515.0,133595.0,15033,1,52043
2024-09-24 10:41:00,133600.0,133780.0,133585.0,133760.0,24867,1,84110
2024-09-24 10:42:00,133765.0,133775.0,133690.0,133700.0,14243,1,49260
2024-09-24 10:43:00,133695.0,133805.0,133680.0,133795.0,15153,1,51518
2024-09-24 10:44:00,133795.0,133865.0,133740.0,133760.0,25556,1,90347
2024-09-24 10:45:00,133760.0,133770.0,133685.0,133705.0,17951,1,66357
2024-09-24 10:46:00,133705.0,133790.0,133690.0,133750.0,11291,1,40774
2024-09-24 10:47:00,133750.0,133785.0,133710.0,133730.0,9646,1,36045
2024-09-24 10:48:00,133730.0,133755.0,133655.0,133665.0,12509,1,44204
2024-09-24 10:49:00,133670.0,133710.0,133640.0,133655.0,10491,1,37158
2024-09-24 10:50:00,133660.0,133740.0,133610.0,133650.0,26272,1,100451
2024-09-24 10:51:00,133650.0,133655.0,133575.0,133625.0,16250,1,55467
2024-09-24 10:52:00,133625.0,133695.0,133600.0,133665.0,10342,1,33409
2024-09-24 10:53:00,133665.0,133745.0,133630.0,133635.0,13699,1,47096
2024-09-24 10:54:00,133635.0,133665.0,133600.0,133620.0,9809,1,36030
2024-09-24 10:55:00,133620.0,133630.0,133540.0,133545.0,12093,1,38129
2024-09-24 10:56:00,133545.0,133570.0,133485.0,133550.0,17786,1,61837
2024-09-24 10:57:00,133555.0,133565.0,133495.0,133515.0,6007,1,23856
2024-09-24 10:58:00,133510.0,133535.0,133475.0,133485.0,5738,1,21060
2024-09-24 10:59:00,133490.0,133500.0,133465.0,133485.0,5219,1,16824
2024-09-24 11:00:00,133485.0,133520.0,133350.0,133360.0,25025,1,100872
2024-09-24 11:01:00,133355.0,133455.0,133350.0,133435.0,16839,1,71393
2024-09-24 11:02:00,133435.0,133520.0,133420.0,133490.0,15188,1,52433
2024-09-24 11:03:00,133495.0,133495.0,133340.0,133395.0,18692,1,68512
2024-09-24 11:04:00,133400.0,133455.0,133370.0,133440.0,8511,1,27793
2024-09-24 11:05:00,133435.0,133455.0,133325.0,133340.0,12930,1,46158
2024-09-24 11:06:00,133335.0,133370.0,133285.0,133355.0,13135,1,45483
2024-09-24 11:07:00,133350.0,133380.0,133335.0,133380.0,5808,1,19277
2024-09-24 11:08:00,133375.0,133460.0,133370.0,133435.0,14277,1,51060
2024-09-24 11:09:00,133430.0,133515.0,133425.0,133490.0,14860,1,50476
2024-09-24 11:10:00,133485.0,133505.0,133450.0,133455.0,7974,1,28343
2024-09-24 11:11:00,133455.0,133485.0,133415.0,133430.0,8175,1,27739
2024-09-24 11:12:00,133430.0,133495.0,133415.0,133490.0,7400,1,25584
