time,open,high,low,close,tick_volume,spread,real_volume
2024-09-23 09:10:00,131220.0,131285.0,131215.0,131250.0,16113,1,48527
2024-09-23 09:11:00,131245.0,131310.0,131220.0,131285.0,10287,1,32135
2024-09-23 09:12:00,131280.0,131335.0,131245.0,131325.0,14469,1,47593
2024-09-23 09:13:00,131325.0,131385.0,131310.0,131380.0,15053,1,55937
2024-09-23 09:14:00,131380.0,131410.0,131300.0,131375.0,15621,1,56767
2024-09-23 09:15:00,131380.0,131400.0,131335.0,131345.0,10167,1,34273
2024-09-23 09:16:00,131340.0,131385.0,131340.0,131375.0,5908,1,19586
2024-09-23 09:17:00,131375.0,131375.0,131230.0,131250.0,21820,1,69720
2024-09-23 09:18:00,131250.0,131295.0,131225.0,131255.0,8895,1,27055
2024-09-23 09:19:00,131255.0,131280.0,131230.0,131255.0,5536,1,15935
2024-09-23 09:20:00,131255.0,131345.0,131245.0,131330.0,11345,1,35094
2024-09-23 09:21:00,131330.0,131385.0,131305.0,131355.0,9316,1,28656
2024-09-23 09:22:00,131355.0,131410.0,131345.0,131380.0,8655,1,25409
2024-09-23 09:23:00,131380.0,131440.0,131370.0,131405.0,9826,1,28769
2024-09-23 09:24:00,131400.0,131410.0,131330.0,131385.0,9767,1,28635
2024-09-23 09:25:00,131385.0,131445.0,131370.0,131415.0,10596,1,32611
2024-09-23 09:26:00,131420.0,131445.0,131360.0,131390.0,10655,1,34558
2024-09-23 09:27:00,131390.0,131415.0,131340.0,131345.0,7713,1,25038
2024-09-23 09:28:00,131345.0,131400.0,131335.0,131370.0,6207,1,18689
2024-09-23 09:29:00,131370.0,131380.0,131305.0,131335.0,8725,1,25409
2024-09-23 09:30:00,131340.0,131420.0,131290.0,131295.0,16486,1,50555
2024-09-23 09:31:00,131300.0,131320.0,131280.0,131295.0,9282,1,27542
2024-09-23 09:32:00,131295.0,131350.0,131265.0,131315.0,10738,1,33905
2024-09-23 09:33:00,131320.0,131365.0,131305.0,131340.0,6717,1,21746
2024-09-23 09:34:00,131340.0,131365.0,131295.0,131305.0,5689,1,16935
2024-09-23 09:35:00,131310.0,131360.0,131270.0,131305.0,9252,1,32589
2024-09-23 09:36:00,131305.0,131305.0,131170.0,131220.0,16882,1,50765
2024-09-23 09:37:00,131220.0,131275.0,131170.0,131185.0,16907,1,53324
2024-09-23 09:38:00,131180.0,131410.0,131175.0,131370.0,27921,1,92426
2024-09-23 09:39:00,131370.0,131390.0,131290.0,131310.0,11458,1,38789
2024-09-23 09:40:00,131305.0,131355.0,131275.0,131310.0,9612,1,31305
2024-09-23 09:41:00,131310.0,131315.0,131225.0,131240.0,12033,1,38143
2024-09-23 09:42:00,131240.0,131310.0,131205.0,131290.0,12448,1,43732
2024-09-23 09:43:00,131295.0,131440.0,131220.0,131395.0,22831,1,77482
2024-09-23 09:44:00,131395.0,131425.0,131375.0,131390.0,7403,1,23844
2024-09-23 09:45:00,131385.0,131425.0,131360.0,131415.0,6842,1,20572
2024-09-23 09:46:00,131410.0,131540.0,131405.0,131465.0,26956,1,83130
2024-09-23 09:47:00,131465.0,131480.0,131425.0,131455.0,6897,1,22904
2024-09-23 09:48:00,131450.0,131490.0,131445.0,131450.0,7137,1,22354
2024-09-23 09:49:00,131455.0,131495.0,131445.0,131475.0,5179,1,17078
2024-09-23 09:50:00,131475.0,131495.0,131450.0,131475.0,5418,1,17854
2024-09-23 09:51:00,131480.0,131520.0,131470.0,131490.0,7081,1,21625
2024-09-23 09:52:00,131485.0,131520.0,131475.0,131500.0,6306,1,22661
2024-09-23 09:53:00,131500.0,131530.0,131475.0,131480.0,5287,1,18913
2024-09-23 09:54:00,131480.0,131530.0,131475.0,131505.0,4505,1,15864
2024-09-23 09:55:00,131510.0,131530.0,131420.0,131450.0,10988,1,34363
2024-09-23 09:56:00,131455.0,131455.0,131295.0,131315.0,25363,1,83576
2024-09-23 09:57:00,131310.0,131420.0,131305.0,131415.0,11659,1,39450
2024-09-23 09:58:00,131415.0,131460.0,131385.0,131430.0,12464,1,42829
2024-09-23 09:59:00,131430.0,131445.0,131330.0,131380.0,10806,1,36159
2024-09-23 10:00:00,131380.0,131450.0,131360.0,131405.0,11703,1,39100
2024-09-23 10:01:00,131410.0,131475.0,131335.0,131370.0,18812,1,62246
2024-09-23 10:02:00,131370.0,131380.0,131320.0,131370.0,8835,1,28165
2024-09-23 10:03:00,131365.0,131370.0,131240.0,131260.0,19095,1,62220
2024-09-23 10:04:00,131255.0,131335.0,131235.0,131265.0,14464,1,49406
2024-09-23 10:05:00,131265.0,131395.0,131245.0,131350.0,18270,1,59678
2024-09-23 10:06:00,131350.0,131415.0,131325.0,131375.0,13074,1,44429
2024-09-23 10:07:00,131370.0,131445.0,131350.0,131370.0,12633,1,41326
2024-09-23 10:08:00,131375.0,131410.0,131325.0,131380.0,10564,1,32377
2024-09-23 10:09:00,131375.0,131450.0,131355.0,131390.0,14220,1,50725
2024-09-23 10:10:00,131390.0,131470.0,131370.0,131380.0,13165,1,45023
2024-09-23 10:11:00,131380.0,131470.0,131340.0,131365.0,17051,1,55816
2024-09-23 10:12:00,131360.0,131405.0,131265.0,131290.0,19977,1,67257
2024-09-23 10:13:00,131290.0,131290.0,131190.0,131265.0,25990,1,85417
